Duración,Día de la semana,Fraude,Operador
8,Viernes,No fraudulenta,Movistar
11,Jueves,Fraudulenta,Entel
6,Lunes,No fraudulenta,Movistar
8,Miércoles,Fraudulenta,Movistar
9,Miércoles,No fraudulenta,Claro
4,Miércoles,No fraudulenta,Claro
1,Jueves,No fraudulenta,Movistar
14,Martes,No fraudulenta,Entel
1,Martes,No fraudulenta,Entel
10,Lunes,No fraudulenta,Entel
4,Martes,No fraudulenta,Movistar
12,Lunes,No fraudulenta,Claro
14,Viernes,No fraudulenta,Bitel
7,Miércoles,No fraudulenta,Claro
2,Jueves,No fraudulenta,Movistar
3,Lunes,No fraudulenta,Claro
1,Jueves,Fraudulenta,Bitel
5,Jueves,Fraudulenta,Claro
1,Miércoles,No fraudulenta,Entel
8,Viernes,No fraudulenta,Claro
1,Viernes,No fraudulenta,Movistar
11,Martes,No fraudulenta,Entel
1,Viernes,Fraudulenta,Claro
2,Miércoles,Fraudulenta,Bitel
2,Jueves,No fraudulenta,Bitel
12,Lunes,No fraudulenta,Bitel
6,Lunes,No fraudulenta,Entel
7,Viernes,No fraudulenta,Entel
5,Martes,No fraudulenta,Bitel
1,Lunes,Fraudulenta,Bitel
1,Martes,No fraudulenta,Bitel
3,Lunes,Fraudulenta,Bitel
14,Martes,Fraudulenta,Bitel
2,Martes,No fraudulenta,Movistar
5,Jueves,No fraudulenta,Entel
12,Miércoles,Fraudulenta,Entel
10,Lunes,No fraudulenta,Movistar
6,Viernes,No fraudulenta,Entel
7,Miércoles,Fraudulenta,Movistar
4,Jueves,No fraudulenta,Entel
7,Jueves,No fraudulenta,Entel
11,Jueves,No fraudulenta,Entel
8,Viernes,Fraudulenta,Entel
11,Lunes,Fraudulenta,Claro
1,Lunes,No fraudulenta,Claro
6,Martes,No fraudulenta,Movistar
8,Martes,No fraudulenta,Entel
5,Martes,Fraudulenta,Entel
4,Viernes,Fraudulenta,Bitel
2,Miércoles,No fraudulenta,Entel
6,Lunes,Fraudulenta,Claro
6,Martes,Fraudulenta,Claro
11,Viernes,No fraudulenta,Entel
1,Viernes,Fraudulenta,Claro
9,Martes,No fraudulenta,Entel
12,Jueves,Fraudulenta,Movistar
11,Jueves,No fraudulenta,Movistar
6,Jueves,No fraudulenta,Claro
13,Martes,Fraudulenta,Entel
3,Viernes,No fraudulenta,Movistar
4,Viernes,Fraudulenta,Movistar
12,Lunes,No fraudulenta,Claro
11,Jueves,No fraudulenta,Entel
4,Martes,No fraudulenta,Entel
3,Lunes,No fraudulenta,Movistar
10,Viernes,No fraudulenta,Movistar
3,Lunes,No fraudulenta,Bitel
3,Jueves,No fraudulenta,Entel
4,Miércoles,No fraudulenta,Movistar
7,Jueves,No fraudulenta,Claro
4,Jueves,No fraudulenta,Movistar
9,Martes,No fraudulenta,Entel
1,Miércoles,No fraudulenta,Movistar
8,Miércoles,No fraudulenta,Movistar
7,Miércoles,No fraudulenta,Movistar
2,Viernes,Fraudulenta,Bitel
8,Lunes,No fraudulenta,Entel
1,Viernes,Fraudulenta,Entel
11,Miércoles,Fraudulenta,Bitel
12,Martes,Fraudulenta,Entel
9,Jueves,No fraudulenta,Movistar
9,Jueves,No fraudulenta,Bitel
2,Viernes,Fraudulenta,Movistar
7,Viernes,No fraudulenta,Bitel
14,Martes,No fraudulenta,Movistar
10,Jueves,Fraudulenta,Entel
3,Viernes,No fraudulenta,Bitel
7,Lunes,No fraudulenta,Bitel
12,Viernes,Fraudulenta,Entel
10,Viernes,Fraudulenta,Bitel
9,Miércoles,No fraudulenta,Movistar
4,Lunes,No fraudulenta,Claro
12,Lunes,No fraudulenta,Claro
1,Martes,Fraudulenta,Claro
2,Miércoles,Fraudulenta,Bitel
1,Lunes,No fraudulenta,Bitel
14,Miércoles,No fraudulenta,Entel
12,Miércoles,No fraudulenta,Entel
5,Jueves,Fraudulenta,Entel
5,Lunes,No fraudulenta,Claro
11,Jueves,No fraudulenta,Movistar
7,Viernes,No fraudulenta,Claro
9,Viernes,Fraudulenta,Movistar
9,Jueves,Fraudulenta,Movistar
3,Viernes,No fraudulenta,Entel
3,Jueves,No fraudulenta,Claro
3,Martes,No fraudulenta,Claro
4,Miércoles,No fraudulenta,Claro
8,Martes,No fraudulenta,Entel
6,Lunes,Fraudulenta,Entel
8,Martes,No fraudulenta,Movistar
1,Martes,Fraudulenta,Entel
8,Viernes,Fraudulenta,Entel
4,Jueves,No fraudulenta,Movistar
11,Lunes,No fraudulenta,Movistar
1,Viernes,Fraudulenta,Entel
8,Lunes,No fraudulenta,Entel
4,Miércoles,No fraudulenta,Claro
6,Jueves,No fraudulenta,Movistar
8,Viernes,No fraudulenta,Movistar
4,Martes,No fraudulenta,Bitel
14,Miércoles,No fraudulenta,Entel
3,Martes,No fraudulenta,Claro
14,Lunes,No fraudulenta,Bitel
9,Miércoles,Fraudulenta,Entel
3,Viernes,No fraudulenta,Entel
9,Martes,No fraudulenta,Claro
13,Martes,No fraudulenta,Claro
2,Lunes,No fraudulenta,Movistar
14,Lunes,No fraudulenta,Entel
2,Jueves,Fraudulenta,Claro
2,Jueves,No fraudulenta,Claro
6,Lunes,No fraudulenta,Entel
3,Jueves,No fraudulenta,Entel
13,Martes,No fraudulenta,Entel
9,Lunes,No fraudulenta,Entel
4,Miércoles,No fraudulenta,Bitel
1,Lunes,No fraudulenta,Bitel
4,Viernes,Fraudulenta,Entel
1,Viernes,Fraudulenta,Bitel
14,Lunes,No fraudulenta,Claro
5,Miércoles,Fraudulenta,Movistar
4,Lunes,No fraudulenta,Movistar
8,Miércoles,No fraudulenta,Bitel
8,Martes,No fraudulenta,Movistar
7,Martes,No fraudulenta,Bitel
3,Miércoles,Fraudulenta,Claro
1,Jueves,No fraudulenta,Movistar
1,Martes,No fraudulenta,Entel
12,Viernes,Fraudulenta,Entel
11,Lunes,No fraudulenta,Entel
3,Jueves,No fraudulenta,Movistar
6,Viernes,No fraudulenta,Entel
7,Lunes,No fraudulenta,Bitel
6,Viernes,Fraudulenta,Claro
14,Jueves,No fraudulenta,Entel
14,Miércoles,No fraudulenta,Bitel
6,Lunes,Fraudulenta,Bitel
6,Viernes,No fraudulenta,Movistar
13,Viernes,No fraudulenta,Movistar
3,Jueves,No fraudulenta,Bitel
6,Jueves,No fraudulenta,Bitel
8,Jueves,No fraudulenta,Entel
11,Miércoles,No fraudulenta,Movistar
11,Martes,No fraudulenta,Bitel
2,Viernes,No fraudulenta,Bitel
5,Miércoles,Fraudulenta,Movistar
14,Viernes,No fraudulenta,Claro
1,Miércoles,Fraudulenta,Entel
12,Lunes,No fraudulenta,Bitel
1,Martes,No fraudulenta,Claro
5,Viernes,No fraudulenta,Movistar
12,Jueves,Fraudulenta,Bitel
13,Martes,No fraudulenta,Claro
3,Viernes,No fraudulenta,Entel
4,Lunes,No fraudulenta,Movistar
3,Viernes,No fraudulenta,Claro
1,Viernes,Fraudulenta,Claro
1,Viernes,No fraudulenta,Movistar
12,Martes,No fraudulenta,Movistar
12,Viernes,No fraudulenta,Claro
14,Jueves,Fraudulenta,Claro
13,Miércoles,Fraudulenta,Bitel
14,Jueves,No fraudulenta,Movistar
5,Lunes,No fraudulenta,Claro
6,Martes,No fraudulenta,Movistar
3,Miércoles,No fraudulenta,Entel
12,Martes,No fraudulenta,Movistar
9,Martes,No fraudulenta,Claro
5,Viernes,No fraudulenta,Claro
8,Jueves,No fraudulenta,Claro
13,Miércoles,No fraudulenta,Movistar
1,Viernes,Fraudulenta,Bitel
14,Miércoles,No fraudulenta,Bitel
5,Jueves,Fraudulenta,Entel
3,Viernes,No fraudulenta,Movistar
12,Miércoles,No fraudulenta,Movistar
1,Viernes,Fraudulenta,Claro
4,Martes,No fraudulenta,Claro
13,Lunes,No fraudulenta,Bitel
5,Miércoles,No fraudulenta,Bitel
7,Jueves,No fraudulenta,Entel
1,Miércoles,No fraudulenta,Entel
3,Lunes,No fraudulenta,Claro
2,Miércoles,No fraudulenta,Claro
9,Miércoles,No fraudulenta,Entel
10,Miércoles,No fraudulenta,Entel
6,Jueves,No fraudulenta,Bitel
10,Lunes,Fraudulenta,Bitel
3,Lunes,No fraudulenta,Claro
8,Jueves,No fraudulenta,Bitel
14,Miércoles,Fraudulenta,Bitel
8,Miércoles,No fraudulenta,Bitel
2,Lunes,No fraudulenta,Movistar
6,Miércoles,No fraudulenta,Bitel
7,Martes,Fraudulenta,Entel
2,Miércoles,No fraudulenta,Claro
11,Miércoles,No fraudulenta,Bitel
10,Viernes,No fraudulenta,Bitel
2,Lunes,No fraudulenta,Claro
10,Lunes,No fraudulenta,Claro
1,Martes,No fraudulenta,Entel
8,Martes,No fraudulenta,Movistar
1,Martes,No fraudulenta,Movistar
9,Lunes,No fraudulenta,Movistar
11,Viernes,No fraudulenta,Bitel
6,Viernes,Fraudulenta,Entel
7,Jueves,Fraudulenta,Entel
13,Lunes,No fraudulenta,Claro
10,Jueves,Fraudulenta,Entel
7,Miércoles,No fraudulenta,Entel
10,Martes,No fraudulenta,Claro
3,Jueves,No fraudulenta,Entel
2,Jueves,Fraudulenta,Bitel
9,Lunes,Fraudulenta,Entel
8,Martes,No fraudulenta,Claro
13,Martes,No fraudulenta,Bitel
12,Viernes,Fraudulenta,Movistar
10,Jueves,No fraudulenta,Bitel
7,Viernes,Fraudulenta,Movistar
9,Jueves,No fraudulenta,Bitel
4,Lunes,No fraudulenta,Movistar
13,Lunes,Fraudulenta,Bitel
4,Miércoles,No fraudulenta,Movistar
1,Jueves,No fraudulenta,Bitel
8,Jueves,No fraudulenta,Claro
14,Martes,Fraudulenta,Movistar
14,Martes,No fraudulenta,Bitel
12,Viernes,No fraudulenta,Movistar
3,Miércoles,No fraudulenta,Movistar
7,Lunes,No fraudulenta,Entel
12,Jueves,Fraudulenta,Claro
2,Viernes,Fraudulenta,Entel
2,Miércoles,Fraudulenta,Claro
7,Martes,No fraudulenta,Claro
6,Miércoles,Fraudulenta,Claro
3,Viernes,No fraudulenta,Movistar
9,Lunes,No fraudulenta,Claro
10,Martes,Fraudulenta,Claro
14,Martes,Fraudulenta,Movistar
13,Lunes,No fraudulenta,Movistar
6,Martes,Fraudulenta,Claro
10,Viernes,Fraudulenta,Claro
10,Martes,Fraudulenta,Claro
6,Jueves,Fraudulenta,Movistar
1,Miércoles,No fraudulenta,Movistar
4,Viernes,Fraudulenta,Movistar
10,Lunes,No fraudulenta,Movistar
6,Viernes,No fraudulenta,Claro
6,Jueves,No fraudulenta,Bitel
11,Martes,Fraudulenta,Claro
12,Martes,Fraudulenta,Movistar
5,Viernes,Fraudulenta,Bitel
1,Martes,No fraudulenta,Bitel
8,Martes,No fraudulenta,Movistar
5,Jueves,No fraudulenta,Bitel
12,Lunes,Fraudulenta,Movistar
12,Miércoles,Fraudulenta,Bitel
12,Viernes,No fraudulenta,Entel
5,Lunes,Fraudulenta,Entel
7,Miércoles,No fraudulenta,Bitel
4,Lunes,No fraudulenta,Movistar
6,Viernes,No fraudulenta,Bitel
13,Jueves,No fraudulenta,Claro
4,Jueves,Fraudulenta,Claro
14,Jueves,No fraudulenta,Entel
3,Lunes,No fraudulenta,Entel
7,Viernes,No fraudulenta,Entel
8,Martes,No fraudulenta,Bitel
4,Martes,No fraudulenta,Entel
13,Jueves,No fraudulenta,Entel
2,Lunes,No fraudulenta,Entel
12,Martes,No fraudulenta,Bitel
10,Lunes,No fraudulenta,Claro
14,Viernes,No fraudulenta,Entel
3,Jueves,No fraudulenta,Entel
1,Miércoles,No fraudulenta,Bitel
8,Jueves,Fraudulenta,Claro
3,Miércoles,Fraudulenta,Movistar
12,Martes,Fraudulenta,Movistar
10,Miércoles,No fraudulenta,Movistar
7,Lunes,No fraudulenta,Bitel
10,Miércoles,No fraudulenta,Movistar
5,Martes,No fraudulenta,Movistar
10,Martes,No fraudulenta,Bitel
5,Jueves,No fraudulenta,Bitel
14,Martes,No fraudulenta,Movistar
7,Lunes,Fraudulenta,Movistar
9,Miércoles,Fraudulenta,Movistar
12,Viernes,Fraudulenta,Bitel
5,Martes,No fraudulenta,Claro
1,Miércoles,Fraudulenta,Bitel
10,Jueves,Fraudulenta,Movistar
10,Viernes,No fraudulenta,Bitel
1,Jueves,No fraudulenta,Entel
2,Lunes,No fraudulenta,Claro
14,Jueves,No fraudulenta,Bitel
6,Miércoles,No fraudulenta,Movistar
9,Viernes,No fraudulenta,Claro
8,Jueves,No fraudulenta,Claro
13,Jueves,No fraudulenta,Entel
5,Lunes,No fraudulenta,Movistar
1,Miércoles,No fraudulenta,Claro
13,Jueves,No fraudulenta,Movistar
7,Miércoles,No fraudulenta,Movistar
5,Martes,No fraudulenta,Entel
6,Lunes,Fraudulenta,Claro
13,Lunes,No fraudulenta,Bitel
7,Lunes,No fraudulenta,Claro
3,Miércoles,No fraudulenta,Claro
12,Jueves,No fraudulenta,Bitel
10,Jueves,No fraudulenta,Claro
3,Miércoles,Fraudulenta,Bitel
5,Miércoles,No fraudulenta,Entel
6,Martes,No fraudulenta,Movistar
9,Viernes,No fraudulenta,Entel
13,Viernes,Fraudulenta,Entel
14,Lunes,No fraudulenta,Bitel
12,Jueves,No fraudulenta,Claro
5,Lunes,No fraudulenta,Movistar
1,Jueves,Fraudulenta,Bitel
14,Jueves,Fraudulenta,Bitel
14,Martes,No fraudulenta,Entel
14,Miércoles,No fraudulenta,Claro
4,Miércoles,No fraudulenta,Movistar
5,Miércoles,No fraudulenta,Entel
12,Viernes,No fraudulenta,Bitel
10,Miércoles,No fraudulenta,Bitel
10,Viernes,No fraudulenta,Entel
5,Lunes,No fraudulenta,Movistar
7,Viernes,No fraudulenta,Claro
4,Jueves,No fraudulenta,Movistar
1,Martes,Fraudulenta,Bitel
14,Martes,Fraudulenta,Movistar
14,Jueves,No fraudulenta,Movistar
5,Lunes,No fraudulenta,Movistar
7,Martes,No fraudulenta,Bitel
10,Jueves,No fraudulenta,Entel
10,Martes,No fraudulenta,Entel
6,Viernes,Fraudulenta,Bitel
5,Martes,No fraudulenta,Entel
4,Viernes,Fraudulenta,Claro
2,Viernes,No fraudulenta,Movistar
4,Martes,No fraudulenta,Movistar
10,Martes,No fraudulenta,Entel
10,Viernes,No fraudulenta,Bitel
3,Martes,Fraudulenta,Entel
10,Lunes,No fraudulenta,Claro
1,Miércoles,No fraudulenta,Entel
8,Miércoles,No fraudulenta,Bitel
5,Jueves,No fraudulenta,Claro
13,Miércoles,Fraudulenta,Movistar
4,Lunes,Fraudulenta,Claro
8,Miércoles,Fraudulenta,Entel
7,Miércoles,Fraudulenta,Bitel
2,Lunes,No fraudulenta,Claro
1,Viernes,No fraudulenta,Entel
12,Miércoles,No fraudulenta,Movistar
11,Jueves,No fraudulenta,Movistar
4,Miércoles,Fraudulenta,Entel
8,Miércoles,No fraudulenta,Bitel
12,Lunes,No fraudulenta,Bitel
2,Lunes,Fraudulenta,Claro
3,Jueves,No fraudulenta,Entel
12,Martes,No fraudulenta,Claro
1,Lunes,No fraudulenta,Movistar
1,Martes,Fraudulenta,Bitel
13,Jueves,No fraudulenta,Bitel
3,Miércoles,Fraudulenta,Movistar
11,Miércoles,No fraudulenta,Movistar
5,Martes,No fraudulenta,Bitel
12,Jueves,No fraudulenta,Entel
3,Jueves,No fraudulenta,Bitel
1,Lunes,Fraudulenta,Claro
1,Martes,No fraudulenta,Movistar
8,Lunes,Fraudulenta,Entel
10,Martes,No fraudulenta,Bitel
11,Lunes,No fraudulenta,Claro
12,Lunes,No fraudulenta,Movistar
13,Jueves,No fraudulenta,Movistar
13,Jueves,Fraudulenta,Movistar
12,Miércoles,No fraudulenta,Movistar
14,Miércoles,No fraudulenta,Entel
2,Jueves,No fraudulenta,Movistar
13,Jueves,No fraudulenta,Movistar
3,Lunes,No fraudulenta,Bitel
2,Miércoles,No fraudulenta,Entel
3,Jueves,No fraudulenta,Movistar
7,Martes,No fraudulenta,Movistar
1,Martes,No fraudulenta,Entel
10,Miércoles,No fraudulenta,Entel
8,Martes,No fraudulenta,Claro
13,Lunes,No fraudulenta,Movistar
10,Miércoles,No fraudulenta,Movistar
10,Jueves,No fraudulenta,Claro
10,Martes,No fraudulenta,Movistar
14,Lunes,Fraudulenta,Claro
2,Jueves,No fraudulenta,Movistar
3,Viernes,No fraudulenta,Movistar
9,Lunes,Fraudulenta,Entel
7,Martes,No fraudulenta,Claro
4,Lunes,No fraudulenta,Claro
10,Viernes,Fraudulenta,Claro
5,Viernes,No fraudulenta,Claro
2,Lunes,No fraudulenta,Claro
13,Jueves,No fraudulenta,Movistar
11,Jueves,No fraudulenta,Bitel
13,Viernes,No fraudulenta,Claro
8,Miércoles,No fraudulenta,Bitel
4,Miércoles,No fraudulenta,Movistar
9,Jueves,No fraudulenta,Bitel
5,Miércoles,Fraudulenta,Entel
13,Jueves,No fraudulenta,Claro
9,Martes,Fraudulenta,Claro
4,Jueves,No fraudulenta,Claro
10,Martes,No fraudulenta,Entel
5,Viernes,No fraudulenta,Movistar
9,Miércoles,No fraudulenta,Claro
8,Viernes,Fraudulenta,Bitel
3,Lunes,No fraudulenta,Entel
1,Lunes,Fraudulenta,Claro
3,Viernes,Fraudulenta,Claro
4,Jueves,No fraudulenta,Movistar
2,Jueves,Fraudulenta,Movistar
1,Miércoles,No fraudulenta,Claro
7,Viernes,No fraudulenta,Movistar
8,Lunes,No fraudulenta,Entel
7,Viernes,Fraudulenta,Claro
14,Viernes,No fraudulenta,Movistar
5,Miércoles,No fraudulenta,Entel
12,Jueves,No fraudulenta,Bitel
1,Lunes,Fraudulenta,Bitel
7,Miércoles,Fraudulenta,Bitel
13,Lunes,No fraudulenta,Movistar
7,Lunes,No fraudulenta,Bitel
9,Jueves,No fraudulenta,Movistar
3,Jueves,No fraudulenta,Claro
9,Miércoles,Fraudulenta,Movistar
14,Martes,Fraudulenta,Bitel
1,Miércoles,No fraudulenta,Bitel
1,Miércoles,No fraudulenta,Bitel
14,Martes,No fraudulenta,Bitel
4,Lunes,Fraudulenta,Bitel
9,Viernes,Fraudulenta,Bitel
6,Martes,No fraudulenta,Entel
13,Viernes,No fraudulenta,Bitel
11,Lunes,No fraudulenta,Claro
3,Martes,No fraudulenta,Movistar
1,Jueves,No fraudulenta,Claro
4,Miércoles,No fraudulenta,Claro
12,Martes,Fraudulenta,Entel
13,Martes,No fraudulenta,Bitel
9,Lunes,No fraudulenta,Movistar
3,Jueves,Fraudulenta,Movistar
12,Martes,No fraudulenta,Claro
9,Jueves,No fraudulenta,Movistar
7,Viernes,Fraudulenta,Movistar
